smile	binding.affinity
[H]SC([H])([H])[C@@]([H])(C(=O)N([H])C1=C([H])C([H])=C(C2=C([H])C([H])=C([H])C([H])=C12)S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	7.4
[H]SC([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	4.4
[H]SC([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	11
[H]OS(=O)(=O)C1=C([H])C([H])=C(N([H])C(=O)[C@]([H])(C([H])([H])S[H])C([H])([H])C2=C([H])N=C([H])C([H])=C2[H])C([H])=C1[H]	33
[H]OS(=O)(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@@]([H])(C([H])([H])S[H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	11
[H]SC([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H]	37
[H]SC([H])([H])[C@@]([H])(C(=O)N([H])C1=C([H])C([H])=C([H])C(=C1[H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	0.27
[H]SC([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	5.4
[H]SC([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1.5
[H]SC([H])([H])[C@@]([H])(C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H]	5
[H]OS(=O)(=O)C1=C([H])C([H])=C(N([H])C(=O)[C@@]([H])(C([H])([H])S[H])C([H])([H])C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H]	110
[H]SC([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H]	3.5
[H]SC([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])C([H])([H])S([O-])(=O)=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]	5.2
[H]OS(=O)(=O)C([H])([H])N([H])C(=O)[C@@]([H])(C([H])([H])S[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2.2
