smile	binding.affinity
[H]OC1=C2\C(=C(/[H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C(=O)O[C@]([H])(C([H])([H])OC([H])([H])[H])[C@@]2(C2=C(C1=O)[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]1(C([H])([H])[H])C([H])([H])[C@@]2([H])OC(=O)C([H])([H])[H])C([H])([H])[H]	8
[H]OC1=C([H])C(=C([H])C([H])=C1[H])C1=NC2=C(N=C1C1=C([H])C([H])=C([H])C(O[H])=C1[H])C(=NC(=N2)N([H])[H])N([H])[H]	44.15
[H]C1=C([H])C([H])=C(C([H])=C1[H])C1=C2OC(=C([H])C(=O)C2=C([H])C([H])=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	1720
[H]OC1=C([H])C([H])=C(C([H])=C1O[H])C1=NC2=NC(=NC(N([H])[H])=C2N=C1[H])N([H])[H]	5900
[H]OC1=C([H])C([H])=C(C([H])=C1O[H])C1=NC2=NC(=NC(N([H])[H])=C2N=C1C1=C([H])C(O[H])=C(O[H])C([H])=C1[H])N([H])[H]	273
[H]OC1=C(O[H])C([H])=C(C([H])=C1[H])C1=NC2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H]	195
[H]N([H])C1=NC(N([H])[H])=C2N=C(C(=NC2=N1)C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	8500
[H]N1C(=S)S\C(=C(\[H])C2=C([H])C3=C(OC([H])([H])C(=O)N3C([H])([H])C3=C([H])C([H])=C(Cl)C([H])=C3[H])C([H])=C2[H])C1=O	7.16
[H]OC1=C([H])C(=C([H])C([H])=C1[H])C1=NC2=C(N=C1[H])N=C(N=C2N([H])[H])N([H])[H]	44.95
[H]C1=C2C3=C(O1)C(=O)C1=C([C@]([H])(OC(=O)C([H])([H])[H])C([H])([H])[C@@]4(C(=O)C([H])([H])C([H])([H])[C@@]14[H])C([H])([H])[H])[C@@]3(C([H])([H])[H])[C@]([H])(OC2=O)C([H])([H])OC([H])([H])[H]	19
