smile	binding.affinity
[H]N1C([H])([H])C2=C([H])N=C([H])N2[C@@]([H])(C2=C([H])C(OC3=C([H])C(=C([H])C([H])=C3[H])C([H])([H])N3C(=O)[C@@]1([H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C2[H])C([H])([H])[H]	85.95
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C(=C(Br)C([H])=C3[H])C([H])([H])N3C(=O)[C@@]1([H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C2[H]	1.4
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C([H])=C([H])C(=C3[H])C3=C([H])C([H])=C([H])C([H])=C3N3C(=O)[C@@]1([H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C2[H]	1.3
[H]N([H])C(=O)N1C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])C2([H])[H])[C@]2([H])C3=NC([H])=C(Br)C([H])=C3C([H])([H])C([H])([H])C3=C2C(Br)=C([H])C(Cl)=C3[H])C([H])([H])C1([H])[H]	48.25
[H]C1=C(Br)C([H])=C2C(=N1)[C@]([H])(C1=C(C(Br)=C(Cl)C([H])=C1[H])C([H])([H])C2([H])[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C2=C([H])C([H])=[N+]([O-])C([H])=C2[H])C([H])([H])C1([H])[H]	32.3
[H]C1=C(Br)C([H])=C2C(=N1)[C@]([H])(N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])C3=C([H])C([H])=[N+]([O-])C([H])=C3[H])C([H])([H])C1([H])[H])C1=C(C(Br)=C(Cl)C([H])=C1[H])C([H])([H])C2([H])[H]	50.65
[H]C1=C(Br)C([H])=C2C(=N1)[C@@]([H])(N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])C3=C([H])C([H])=[N+]([O-])C([H])=C3[H])C([H])([H])C1([H])[H])C1=C(C(Cl)=C(Cl)C([H])=C1[H])C([H])([H])C2([H])[H]	6
[H]N([H])C(=O)N1C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])(C([H])([H])C2([H])[H])[C@]2([H])C3=NC([H])=C(Br)C([H])=C3C([H])([H])C([H])([H])C3=C2C([H])=C([H])C(Cl)=C3Br)C([H])([H])C1([H])[H]	5
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C(=C([H])C([H])=C3[H])C([H])([H])N3C(=O)[C@@]1([H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C2[H]	28.75
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C(=C([H])C([H])=C3[H])[C@]([H])(N3C(=O)[C@@]1([H])C([H])([H])C3([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H])=C(C#N)C([H])=C2[H]	34
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C(=C([H])C([H])=C3[H])[C@]([H])(N3C(=O)[C@@]1([H])C([H])([H])C3([H])[H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])=C(C#N)C([H])=C2[H]	13.75
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C4=C(C([H])=C3[H])C([H])([H])C([H])([H])C([H])([H])[C@@]4([H])N3C(=O)[C@]1([H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C2[H]	0.715
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C4=C(OC([H])([H])C([H])([H])[C@@]4([H])N4C(=O)[C@@]1([H])C([H])([H])C4([H])[H])C([H])=C3[H])=C(C#N)C([H])=C2[H]	2.95
[H]N([H])C(=O)N1C([H])([H])C([H])([H])C([H])(C([H])([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])C2([H])[H])[C@]2([H])C3=NC([H])=C(Br)C([H])=C3C([H])([H])C([H])([H])C3=C2C([H])=C([H])C(Cl)=C3Br)C([H])([H])C1([H])[H]	141.55
[H]C1=NC([H])=C2N1C([H])([H])C1=C([H])C(OC3=C([H])C4=C(C([H])=C3[H])C([H])([H])C([H])([H])[C@@]4([H])N3C(=O)[C@]([H])(N(C([H])([H])[H])C2([H])[H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C1[H]	1.4
[H]N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])OC1=C(C(=NN1C1=C([H])C(Cl)=C(Cl)C([H])=C1[H])C1=C([H])N=C([H])C([H])=C1[H])C([H])([H])C([H])([H])SC([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2000
[H]C1=C(Br)C([H])=C2C(=N1)[C@]([H])(N1C([H])([H])C([H])([H])N(C(=O)C([H])([H])C3=C([H])C([H])=[N+]([O-])C([H])=C3[H])C([H])([H])C1([H])[H])C1=C(C(F)=C(Cl)C([H])=C1[H])C([H])([H])C2([H])[H]	86
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C(=C([H])C(Cl)=C3[H])C([H])([H])N3C(=O)[C@@]1([H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C2[H]	23
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C4=C(C([H])=C([H])C([H])=C4C([H])=C3[H])N3C(=O)[C@]1([H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C2[H]	3.5
[H]C1=NC([H])=C2N1C([H])([H])C1=C([H])C(OC3=C([H])C4=C(C([H])=C([H])C([H])=C4C([H])=C3[H])N3C(=O)[C@@]([H])(N(C([H])([H])[H])C2([H])[H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C1[H]	4.9
[H]N1C(=O)C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C([H])=C(C#N)C(OC3=C([H])C4=C(C([H])=C([H])C([H])=C4N4C(=O)[C@]1([H])C([H])([H])C4([H])[H])C([H])=C3[H])=C2[H]	2.2
[H]N1C([H])([H])C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C([H])=C(C#N)C(OC3=C([H])C4=C(C([H])=C([H])C([H])=C4N4C(=O)[C@]1([H])C([H])([H])C4([H])[H])C([H])=C3[H])=C2[H]	1.1
[H]C1=NC([H])=C2N1C([H])([H])C1=C([H])C([H])=C(C#N)C(OC3=C([H])C4=C(C([H])=C([H])C([H])=C4N4C(=O)[C@@]([H])(N(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])C4([H])[H])C([H])=C3[H])=C1[H]	1.35
[H]N1C([H])([H])C2=C([H])N=C([H])N2C([H])([H])C2=C([H])C(OC3=C([H])C4=C(C([H])=C3[H])C([H])([H])C([H])([H])[C@@]4([H])N3C(=O)[C@@]1([H])C([H])([H])C3([H])[H])=C(C#N)C([H])=C2[H]	23.8
[H]C1=C(Br)C([H])=C2C(=N1)[C@@]([H])(C1=C(C([H])=C(Cl)C([H])=C1Br)C([H])([H])C2([H])[H])C1([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C2=C([H])C([H])=[N+]([O-])C([H])=C2[H])C([H])([H])C1([H])[H]	2
