smile	binding.affinity
[H]ON([H])C(=O)C([H])([H])N(C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C(=O)O[H])C([H])(C([H])([H])[H])C([H])([H])[H]	57
[H]OC(=O)[C@@]1([H])N(C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])S[H])C([H])([H])C([H])([H])C1([H])[H]	23
[H]ON([H])C(=O)C([H])([H])N(C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C(=O)O[H])C([H])([H])[H]	45
[H]ON([H])C(=O)C([H])([H])[C@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)O[H])C([H])([H])[H]	600
[H]ON([H])C(=O)C([H])([H])N(C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C(=O)O[H])C([H])([H])C([H])([H])C([H])([H])[H]	275
[H]OC(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C(=O)C([H])([H])C([H])([H])S[H]	1550
[H]ON([H])C(=O)C([H])([H])N([H])C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C(=O)O[H]	2250
[H]OC(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)N1N=C(S[C@@]1([H])C(=O)O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]	0.6
[H]OC(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)N1N=C(S[C@@]1([H])C(=O)O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	0.7
[H]OC(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)N1N=C(S[C@@]1([H])C(=O)O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	0.51
[H]OC(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)N1N=C(S[C@@]1([H])C(=O)O[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1.5
[H]OC(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)N1C([H])([H])[C@]2(SC([H])([H])C([H])([H])S2)C([H])([H])[C@@]1([H])C(=O)O[H])C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1.45
[H]OC(=O)[C@@]1([H])N(C(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])[H])C([H])([H])[C@]2(SC([H])([H])C([H])([H])S2)C1([H])[H]	67
[H]OC(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1.2
[H]OC(=O)[C@@]([H])(O[H])C([H])([H])N([H])C(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)O[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1000
[H]OC(=O)[C@@]([H])(O[H])C([H])([H])N([H])C(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)O[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	820
[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)O[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])O[H]	320
[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)O[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1000
[H]OC(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@@]([H])(N([H])[C@]([H])(C(=O)O[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1000
[H]OC(=O)C([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(S[H])[C@]([H])([N+]([H])([H])[H])C([H])([H])C([H])([H])C([O-])=O)[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C(=O)O[H]	1800
[H]OC(=O)C([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(S[H])[C@]([H])([N+]([H])([H])[H])C([H])([H])C([H])([H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C(=O)O[H]	1800
[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(S[H])[C@]([H])([N+]([H])([H])[H])C([H])([H])C([H])([H])S([O-])(=O)=O)[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])S(=O)(=O)O[H]	1210
[H]OC(=O)C([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(S[H])[C@]([H])([N+]([H])([H])[H])C([H])([H])C([H])([H])S([O-])(=O)=O)[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C(=O)O[H]	1200
[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(S[H])[C@]([H])([N+]([H])([H])[H])C([H])([H])C([H])([H])S([O-])(=O)=O)C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C([H])([H])C([H])([H])S(=O)(=O)O[H]	660
