smile	binding.affinity
[H]N(C1=C(C([H])=C(C(N([H])C([H])([H])C([H])([H])SC([H])([H])C2=C([H])C([H])=C(O2)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H])[N+]([O-])=O)[N+]([O-])=O)C([H])([H])C1=C([H])N=C([H])C([H])=C1[H]	400
[H]N(C1=C(C([H])=C(C(N([H])C([H])([H])C([H])([H])SC([H])([H])C2=C([H])C([H])=C(O2)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H])[N+]([O-])=O)[N+]([O-])=O)C([H])([H])[H]	3100
[H]N(C1=C([H])C(N([H])C([H])([H])C2=NC([H])=C([H])C([H])=C2[H])=C(C([H])=C1[N+]([O-])=O)[N+]([O-])=O)C([H])([H])C([H])([H])SC([H])([H])C1=C([H])C([H])=C(O1)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	2400
[H]N([H])N([H])C1=C(C([H])=C(C(N([H])C([H])([H])C([H])([H])SC([H])([H])C2=C([H])C([H])=C(O2)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H])[N+]([O-])=O)[N+]([O-])=O	4700
[H]N(C1=C(C([H])=C([H])N=N1)[N+]([O-])=O)C([H])([H])C([H])([H])SC([H])([H])C1=C([H])C([H])=C(O1)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	600
[H]N(C1=C([H])C([H])=C(C([H])=C1[N+]([O-])=O)[N+]([O-])=O)C([H])([H])C([H])([H])SC([H])([H])C1=C([H])C([H])=C(O1)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	5700
[H]N(C1=C([H])C([H])=C([H])C([H])=C1C#N)C1=C(C([H])=C(C(N([H])C([H])([H])C([H])([H])SC([H])([H])C2=C([H])C([H])=C(O2)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H])[N+]([O-])=O)[N+]([O-])=O	3700
[H]N(C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C(C([H])=C(C(N([H])C([H])([H])C([H])([H])SC([H])([H])C2=C([H])C([H])=C(O2)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H])[N+]([O-])=O)[N+]([O-])=O	6400
[H]N(C1=C(C([H])=C(F)C([H])=C1[H])[N+]([O-])=O)C([H])([H])C([H])([H])SC([H])([H])C1=C([H])C([H])=C(O1)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	2400
[H]N(C1=C([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])[H])=C(C([H])=C1[N+]([O-])=O)[N+]([O-])=O)C([H])([H])C([H])([H])SC([H])([H])C1=C([H])C([H])=C(O1)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	3500
[H]N([H])C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	2100
[H]N(C1=C([H])C(N([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C(C([H])=C1[N+]([O-])=O)[N+]([O-])=O)C([H])([H])C([H])([H])SC([H])([H])C1=C([H])C([H])=C(O1)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	380
[H]N([H])C1=C(C([H])=C(C(N([H])C([H])([H])C([H])([H])SC([H])([H])C2=C([H])C([H])=C(O2)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H])[N+]([O-])=O)[N+]([O-])=O	6800
[H]N(C1=C([H])C([H])=C(F)C([H])=C1[H])C1=C(C([H])=C(C(N([H])C([H])([H])C([H])([H])SC([H])([H])C2=C([H])C([H])=C(O2)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H])[N+]([O-])=O)[N+]([O-])=O	4400
[H]N(N=C(C([H])([H])[H])C([H])([H])[H])C1=C(C([H])=C(C(N([H])C([H])([H])C([H])([H])SC([H])([H])C2=C([H])C([H])=C(O2)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H])[N+]([O-])=O)[N+]([O-])=O	3500
[H]N(C1=C([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])=C(C([H])=C1[N+]([O-])=O)[N+]([O-])=O)C([H])([H])C([H])([H])SC([H])([H])C1=C([H])C([H])=C(O1)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	300
[H]N(C1=C([H])C(F)=C(C([H])=C1[N+]([O-])=O)[N+]([O-])=O)C([H])([H])C([H])([H])SC([H])([H])C1=C([H])C([H])=C(O1)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	7000
[H]N(C1=C(C([H])=C(C(N([H])C([H])([H])C([H])([H])SC([H])([H])C2=C([H])C([H])=C(O2)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=C1[H])[N+]([O-])=O)[N+]([O-])=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	3300
[H]C([H])([H])[C@@]1([H])O[C@@]([H])(C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=O	2070
[H]C([H])([H])N(C([H])([H])C#CC([H])([H])N1C(=O)C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[H]	784.5
[H]C([H])(C#CC([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N1C(=O)C([H])([H])C([H])([H])C1([H])[H]	490.5
[H]O[C@@]1([H])C([H])([H])[C@@]([H])(O[C@]1([H])C([H])([H])[H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	1342.5
[H]N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])C(=O)N2C3=C(N([H])C(=O)C4=C2C([H])=C([H])C([H])=C4[H])C([H])=C([H])C([H])=N3)C([H])([H])C1([H])[H]	3340
[H]C([H])(C#CC([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N1C(=O)C([H])([H])C([H])([H])C1([H])[H]	95
[H]C([H])([H])[C@@]1([H])C([H])([H])N(C(=O)C1([H])[H])C([H])([H])C#CC([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	4250
[H]C([H])([H])N(C(=O)C([H])([H])[H])[C@]([H])(C#CC([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]	75
[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C#CC([H])([H])N1C(=O)[C@@]([H])(C([H])([H])[H])C([H])([H])C1([H])[H]	670
[H]N([H])C(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	1957.5
