smile	binding.affinity
[H]OC(=O)[C@@]12C([H])([H])[C@]3([H])C([H])([H])[C@]([H])(C1([H])[H])[C@]([H])(N([H])C(=O)C(OC1=C([H])C([H])=C([H])C(Cl)=C1[H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C3([H])[H])C2([H])[H]	15.07
[H]OC(=O)[C@@]12C([H])([H])[C@]3([H])C([H])([H])[C@]([H])(C1([H])[H])[C@]([H])(N([H])C(=O)C(OC1=C([H])C([H])=C(Cl)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C3([H])[H])C2([H])[H]	22
[H]N([H])C(=O)[C@@]12C([H])([H])[C@@]3([H])C([H])([H])[C@@]([H])(C1([H])[H])[C@]([H])(N([H])C(=O)C(OC1=C([H])C([H])=C(Cl)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C3([H])[H])C2([H])[H]	6.015
[H]N([H])C(=O)[C@@]12C([H])([H])[C@@]3([H])C([H])([H])[C@@]([H])(C1([H])[H])[C@]([H])(N([H])C(=O)C(OC1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C3([H])[H])C2([H])[H]	6.015
[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N([H])C(=O)[C@@]12C([H])([H])[C@]3([H])C([H])([H])[C@@]([H])(C1([H])[H])[C@]([H])(N([H])C(=O)C(OC1=C([H])C([H])=C(Cl)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C3([H])[H])C2([H])[H]	15
[H]N(C(=O)[C@@]12C([H])([H])[C@]3([H])C([H])([H])[C@@]([H])(C1([H])[H])[C@]([H])(N([H])C(=O)C(OC1=C([H])C([H])=C(Cl)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C3([H])[H])C2([H])[H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])S(=O)(=O)C([H])([H])[H]	25
[H]N(C(=O)[C@@]12C([H])([H])[C@]3([H])C([H])([H])[C@@]([H])(C1([H])[H])[C@]([H])(N([H])C(=O)C(OC1=C([H])C([H])=C(Cl)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C3([H])[H])C2([H])[H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=NN=NN1[H]	15.925
[H]N(C1=NC(=O)[C@@](S1)(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1C(F)(F)F	503
[H]N(C1=NC(=O)[C@@](S1)(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	65
[H]N(C1=NC(=O)[C@](S1)(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H]	90
[H]N(C1=NC(=O)[C@](S1)(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F)C([H])([H])[H]	87
[H]N(C1=NC(=O)[C@](S1)(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C1=C([H])C(=C([H])C([H])=C1[H])C(F)(F)F)C([H])([H])[H]	45
[H]N(C1=NC(=O)[C@](S1)(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C1=C(C([H])=C([H])C([H])=C1[H])C(F)(F)F)C([H])([H])[H]	18
[H]N(C1=NC(=O)[C@@](S1)(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C1=C(F)C([H])=C([H])C([H])=C1[H])C([H])([H])[H]	4
